Date, Low 10 , Decile 2 , Decile 3 , Decile 4 , Decile 5 , Decile 6 , Decile 7 , Decile 8 , Decile 9 , High 10 ,,
1/1/1927, 1.00 , 1.01 , 1.02 , 1.01 , 1.00 , 1.02 , 1.01 , 1.00 , 1.00 , 1.01 ,,
2/1/1927, 1.04 , 1.02 , 1.06 , 1.05 , 1.02 , 1.04 , 1.03 , 1.02 , 1.03 , 1.03 ,,
3/1/1927, 1.01 , 1.00 , 1.05 , 1.04 , 1.01 , 1.03 , 1.04 , 1.02 , 1.03 , 1.03 ,,
4/1/1927, 1.02 , 0.99 , 1.05 , 1.04 , 1.01 , 1.04 , 1.04 , 1.01 , 1.04 , 1.05 ,,
5/1/1927, 1.03 , 1.01 , 1.08 , 1.06 , 1.05 , 1.08 , 1.08 , 1.06 , 1.07 , 1.11 ,,
6/1/1927, 0.99 , 1.01 , 1.07 , 1.05 , 1.04 , 1.09 , 1.07 , 1.05 , 1.06 , 1.09 ,,
7/1/1927, 1.03 , 1.03 , 1.10 , 1.08 , 1.07 , 1.11 , 1.11 , 1.07 , 1.09 , 1.14 ,,
8/1/1927, 1.01 , 1.05 , 1.09 , 1.09 , 1.08 , 1.12 , 1.12 , 1.08 , 1.10 , 1.13 ,,
9/1/1927, 1.01 , 1.07 , 1.10 , 1.10 , 1.08 , 1.14 , 1.14 , 1.10 , 1.14 , 1.15 ,,
10/1/1927, 0.98 , 1.04 , 1.07 , 1.07 , 1.08 , 1.12 , 1.12 , 1.09 , 1.11 , 1.13 ,,
11/1/1927, 1.12 , 1.09 , 1.12 , 1.12 , 1.11 , 1.17 , 1.17 , 1.13 , 1.15 , 1.17 ,,
12/1/1927, 1.15 , 1.10 , 1.13 , 1.15 , 1.14 , 1.19 , 1.17 , 1.14 , 1.18 , 1.20 ,,
1/1/1928, 1.17 , 1.12 , 1.14 , 1.19 , 1.15 , 1.19 , 1.19 , 1.14 , 1.18 , 1.26 ,,
2/1/1928, 1.17 , 1.10 , 1.12 , 1.19 , 1.14 , 1.19 , 1.18 , 1.12 , 1.17 , 1.23 ,,
3/1/1928, 1.21 , 1.14 , 1.17 , 1.21 , 1.17 , 1.23 , 1.21 , 1.16 , 1.21 , 1.30 ,,
4/1/1928, 1.25 , 1.19 , 1.25 , 1.29 , 1.22 , 1.33 , 1.23 , 1.18 , 1.23 , 1.35 ,,
5/1/1928, 1.34 , 1.20 , 1.27 , 1.30 , 1.23 , 1.33 , 1.26 , 1.20 , 1.26 , 1.39 ,,
6/1/1928, 1.28 , 1.16 , 1.22 , 1.26 , 1.19 , 1.31 , 1.21 , 1.16 , 1.22 , 1.34 ,,
7/1/1928, 1.26 , 1.15 , 1.22 , 1.26 , 1.19 , 1.31 , 1.22 , 1.15 , 1.23 , 1.35 ,,
8/1/1928, 1.29 , 1.18 , 1.25 , 1.27 , 1.23 , 1.36 , 1.25 , 1.20 , 1.28 , 1.40 ,,
9/1/1928, 1.32 , 1.22 , 1.27 , 1.29 , 1.25 , 1.39 , 1.30 , 1.23 , 1.32 , 1.46 ,,
10/1/1928, 1.32 , 1.21 , 1.28 , 1.29 , 1.25 , 1.40 , 1.31 , 1.25 , 1.34 , 1.52 ,,
11/1/1928, 1.38 , 1.28 , 1.34 , 1.36 , 1.32 , 1.49 , 1.40 , 1.31 , 1.42 , 1.67 ,,
12/1/1928, 1.34 , 1.27 , 1.34 , 1.35 , 1.31 , 1.51 , 1.41 , 1.31 , 1.42 , 1.66 ,,
1/1/1929, 1.35 , 1.29 , 1.36 , 1.37 , 1.33 , 1.53 , 1.45 , 1.34 , 1.47 , 1.69 ,,
2/1/1929, 1.33 , 1.29 , 1.36 , 1.37 , 1.33 , 1.54 , 1.46 , 1.34 , 1.49 , 1.72 ,,
3/1/1929, 1.29 , 1.27 , 1.34 , 1.35 , 1.31 , 1.51 , 1.42 , 1.33 , 1.45 , 1.72 ,,
4/1/1929, 1.27 , 1.29 , 1.36 , 1.35 , 1.32 , 1.52 , 1.44 , 1.34 , 1.47 , 1.75 ,,
5/1/1929, 1.18 , 1.21 , 1.31 , 1.29 , 1.28 , 1.46 , 1.39 , 1.29 , 1.40 , 1.64 ,,
6/1/1929, 1.20 , 1.24 , 1.34 , 1.33 , 1.31 , 1.52 , 1.45 , 1.36 , 1.50 , 1.75 ,,
7/1/1929, 1.20 , 1.23 , 1.35 , 1.33 , 1.33 , 1.56 , 1.46 , 1.38 , 1.53 , 1.76 ,,
8/1/1929, 1.18 , 1.23 , 1.36 , 1.32 , 1.34 , 1.58 , 1.51 , 1.42 , 1.59 , 1.82 ,,
9/1/1929, 1.14 , 1.18 , 1.32 , 1.30 , 1.31 , 1.55 , 1.49 , 1.39 , 1.57 , 1.81 ,,
10/1/1929, 1.01 , 1.05 , 1.18 , 1.16 , 1.21 , 1.42 , 1.37 , 1.26 , 1.40 , 1.56 ,,
11/1/1929, 0.95 , 0.98 , 1.11 , 1.12 , 1.14 , 1.37 , 1.29 , 1.20 , 1.31 , 1.43 ,,
12/1/1929, 0.89 , 0.93 , 1.09 , 1.10 , 1.13 , 1.35 , 1.27 , 1.20 , 1.32 , 1.47 ,,
1/1/1930, 1.00 , 1.03 , 1.16 , 1.16 , 1.18 , 1.40 , 1.32 , 1.24 , 1.35 , 1.50 ,,
2/1/1930, 1.02 , 1.05 , 1.19 , 1.17 , 1.19 , 1.41 , 1.34 , 1.25 , 1.36 , 1.53 ,,
3/1/1930, 1.15 , 1.12 , 1.25 , 1.22 , 1.25 , 1.47 , 1.39 , 1.30 , 1.40 , 1.59 ,,
4/1/1930, 1.12 , 1.11 , 1.19 , 1.17 , 1.22 , 1.43 , 1.34 , 1.27 , 1.41 , 1.57 ,,
5/1/1930, 1.07 , 1.07 , 1.17 , 1.15 , 1.21 , 1.40 , 1.33 , 1.26 , 1.40 , 1.55 ,,
6/1/1930, 0.94 , 0.95 , 1.04 , 1.04 , 1.09 , 1.28 , 1.23 , 1.18 , 1.30 , 1.39 ,,
7/1/1930, 0.96 , 0.97 , 1.07 , 1.04 , 1.12 , 1.32 , 1.26 , 1.19 , 1.31 , 1.42 ,,
8/1/1930, 0.93 , 0.96 , 1.06 , 1.02 , 1.12 , 1.30 , 1.26 , 1.18 , 1.32 , 1.42 ,,
9/1/1930, 0.83 , 0.86 , 0.95 , 0.94 , 1.04 , 1.21 , 1.17 , 1.12 , 1.25 , 1.35 ,,
10/1/1930, 0.78 , 0.80 , 0.89 , 0.88 , 0.99 , 1.16 , 1.14 , 1.07 , 1.21 , 1.30 ,,
11/1/1930, 0.78 , 0.80 , 0.87 , 0.87 , 0.97 , 1.15 , 1.12 , 1.05 , 1.20 , 1.30 ,,
12/1/1930, 0.69 , 0.72 , 0.80 , 0.80 , 0.89 , 1.08 , 1.05 , 1.01 , 1.16 , 1.26 ,,
1/1/1931, 0.78 , 0.81 , 0.86 , 0.86 , 0.95 , 1.15 , 1.10 , 1.04 , 1.19 , 1.33 ,,
2/1/1931, 0.88 , 0.92 , 0.94 , 0.94 , 1.04 , 1.23 , 1.18 , 1.09 , 1.24 , 1.38 ,,
3/1/1931, 0.83 , 0.87 , 0.90 , 0.93 , 1.00 , 1.19 , 1.12 , 1.06 , 1.22 , 1.39 ,,
4/1/1931, 0.73 , 0.79 , 0.81 , 0.85 , 0.92 , 1.10 , 1.04 , 1.01 , 1.15 , 1.33 ,,
5/1/1931, 0.67 , 0.71 , 0.75 , 0.78 , 0.85 , 1.01 , 0.97 , 0.95 , 1.09 , 1.28 ,,
6/1/1931, 0.76 , 0.82 , 0.83 , 0.87 , 0.95 , 1.11 , 1.04 , 1.01 , 1.15 , 1.33 ,,
7/1/1931, 0.72 , 0.78 , 0.79 , 0.82 , 0.91 , 1.08 , 1.02 , 1.00 , 1.13 , 1.31 ,,
8/1/1931, 0.72 , 0.76 , 0.78 , 0.80 , 0.89 , 1.07 , 1.01 , 0.98 , 1.13 , 1.31 ,,
9/1/1931, 0.60 , 0.61 , 0.64 , 0.68 , 0.74 , 0.92 , 0.85 , 0.84 , 0.99 , 1.14 ,,
10/1/1931, 0.62 , 0.65 , 0.68 , 0.73 , 0.77 , 0.95 , 0.91 , 0.86 , 1.06 , 1.22 ,,
11/1/1931, 0.58 , 0.61 , 0.64 , 0.69 , 0.74 , 0.92 , 0.88 , 0.82 , 1.03 , 1.19 ,,
12/1/1931, 0.50 , 0.53 , 0.56 , 0.62 , 0.66 , 0.83 , 0.81 , 0.77 , 0.95 , 1.15 ,,
1/1/1932, 0.58 , 0.56 , 0.59 , 0.64 , 0.71 , 0.86 , 0.82 , 0.78 , 0.96 , 1.17 ,,
2/1/1932, 0.57 , 0.56 , 0.59 , 0.63 , 0.71 , 0.88 , 0.83 , 0.80 , 0.99 , 1.18 ,,
3/1/1932, 0.51 , 0.52 , 0.55 , 0.59 , 0.68 , 0.81 , 0.78 , 0.76 , 0.95 , 1.15 ,,
4/1/1932, 0.46 , 0.46 , 0.50 , 0.53 , 0.61 , 0.74 , 0.71 , 0.70 , 0.88 , 1.08 ,,
5/1/1932, 0.41 , 0.41 , 0.45 , 0.48 , 0.54 , 0.67 , 0.64 , 0.63 , 0.79 , 0.99 ,,
6/1/1932, 0.41 , 0.42 , 0.46 , 0.50 , 0.55 , 0.68 , 0.64 , 0.64 , 0.82 , 1.02 ,,
7/1/1932, 0.56 , 0.58 , 0.58 , 0.66 , 0.66 , 0.81 , 0.73 , 0.74 , 0.90 , 1.08 ,,
8/1/1932, 0.87 , 0.90 , 0.80 , 0.92 , 0.92 , 1.06 , 0.91 , 0.87 , 1.07 , 1.25 ,,
9/1/1932, 0.83 , 0.89 , 0.76 , 0.88 , 0.88 , 1.05 , 0.87 , 0.83 , 1.04 , 1.23 ,,
10/1/1932, 0.75 , 0.83 , 0.68 , 0.80 , 0.81 , 0.97 , 0.81 , 0.77 , 0.95 , 1.12 ,,
11/1/1932, 0.72 , 0.80 , 0.68 , 0.76 , 0.78 , 0.94 , 0.77 , 0.75 , 0.92 , 1.08 ,,
12/1/1932, 0.68 , 0.78 , 0.66 , 0.75 , 0.77 , 0.92 , 0.76 , 0.75 , 0.92 , 1.07 ,,
1/1/1933, 0.69 , 0.80 , 0.69 , 0.77 , 0.78 , 0.94 , 0.78 , 0.76 , 0.94 , 1.06 ,,
2/1/1933, 0.62 , 0.74 , 0.62 , 0.70 , 0.72 , 0.86 , 0.72 , 0.71 , 0.88 , 1.00 ,,
3/1/1933, 0.64 , 0.78 , 0.65 , 0.72 , 0.77 , 0.92 , 0.75 , 0.74 , 0.93 , 1.06 ,,
4/1/1933, 0.82 , 1.02 , 0.83 , 0.95 , 0.95 , 1.16 , 0.93 , 0.95 , 1.13 , 1.29 ,,
5/1/1933, 1.14 , 1.39 , 1.12 , 1.27 , 1.18 , 1.46 , 1.22 , 1.22 , 1.35 , 1.65 ,,
6/1/1933, 1.32 , 1.55 , 1.25 , 1.43 , 1.29 , 1.60 , 1.35 , 1.34 , 1.54 , 1.78 ,,
7/1/1933, 1.26 , 1.47 , 1.20 , 1.35 , 1.22 , 1.53 , 1.27 , 1.30 , 1.44 , 1.70 ,,
8/1/1933, 1.30 , 1.49 , 1.27 , 1.43 , 1.30 , 1.65 , 1.35 , 1.39 , 1.53 , 1.79 ,,
9/1/1933, 1.16 , 1.37 , 1.17 , 1.32 , 1.21 , 1.57 , 1.26 , 1.30 , 1.43 , 1.65 ,,
10/1/1933, 1.10 , 1.29 , 1.10 , 1.25 , 1.13 , 1.49 , 1.19 , 1.22 , 1.35 , 1.56 ,,
11/1/1933, 1.11 , 1.31 , 1.15 , 1.31 , 1.17 , 1.54 , 1.25 , 1.28 , 1.38 , 1.61 ,,
12/1/1933, 1.10 , 1.30 , 1.16 , 1.33 , 1.19 , 1.55 , 1.27 , 1.31 , 1.40 , 1.64 ,,
