Date, Low 10 , Decile 2 , Decile 3 , Decile 4 , Decile 5 , Decile 6 , Decile 7 , Decile 8 , Decile 9 , High 10 
1/1/1927,0.2,0.202,0.204,0.202,0.2,0.204,0.202,0.2,0.2,0.202
2/1/1927,0.208,0.204,0.212,0.21,0.204,0.208,0.206,0.204,0.206,0.206
3/1/1927,0.202,0.2,0.21,0.208,0.202,0.206,0.208,0.204,0.206,0.206
4/1/1927,0.204,0.198,0.21,0.208,0.202,0.208,0.208,0.202,0.208,0.21
5/1/1927,0.206,0.202,0.216,0.212,0.21,0.216,0.216,0.212,0.214,0.222
6/1/1927,0.198,0.202,0.214,0.21,0.208,0.218,0.214,0.21,0.212,0.218
7/1/1927,0.206,0.206,0.22,0.216,0.214,0.222,0.222,0.214,0.218,0.228
8/1/1927,0.202,0.21,0.218,0.218,0.216,0.224,0.224,0.216,0.22,0.226
9/1/1927,0.202,0.214,0.22,0.22,0.216,0.228,0.228,0.22,0.228,0.23
10/1/1927,0.196,0.208,0.214,0.214,0.216,0.224,0.224,0.218,0.222,0.226
11/1/1927,0.224,0.218,0.224,0.224,0.222,0.234,0.234,0.226,0.23,0.234
12/1/1927,0.23,0.22,0.226,0.23,0.228,0.238,0.234,0.228,0.236,0.24
1/1/1928,0.234,0.224,0.228,0.238,0.23,0.238,0.238,0.228,0.236,0.252
2/1/1928,0.234,0.22,0.224,0.238,0.228,0.238,0.236,0.224,0.234,0.246
3/1/1928,0.242,0.228,0.234,0.242,0.234,0.246,0.242,0.232,0.242,0.26
4/1/1928,0.25,0.238,0.25,0.258,0.244,0.266,0.246,0.236,0.246,0.27
5/1/1928,0.268,0.24,0.254,0.26,0.246,0.266,0.252,0.24,0.252,0.278
6/1/1928,0.256,0.232,0.244,0.252,0.238,0.262,0.242,0.232,0.244,0.268
7/1/1928,0.252,0.23,0.244,0.252,0.238,0.262,0.244,0.23,0.246,0.27
8/1/1928,0.258,0.236,0.25,0.254,0.246,0.272,0.25,0.24,0.256,0.28
9/1/1928,0.264,0.244,0.254,0.258,0.25,0.278,0.26,0.246,0.264,0.292
10/1/1928,0.264,0.242,0.256,0.258,0.25,0.28,0.262,0.25,0.268,0.304
11/1/1928,0.276,0.256,0.268,0.272,0.264,0.298,0.28,0.262,0.284,0.334
12/1/1928,0.268,0.254,0.268,0.27,0.262,0.302,0.282,0.262,0.284,0.332
1/1/1929,0.27,0.258,0.272,0.274,0.266,0.306,0.29,0.268,0.294,0.338
2/1/1929,0.266,0.258,0.272,0.274,0.266,0.308,0.292,0.268,0.298,0.344
3/1/1929,0.258,0.254,0.268,0.27,0.262,0.302,0.284,0.266,0.29,0.344
4/1/1929,0.254,0.258,0.272,0.27,0.264,0.304,0.288,0.268,0.294,0.35
5/1/1929,0.236,0.242,0.262,0.258,0.256,0.292,0.278,0.258,0.28,0.328
6/1/1929,0.24,0.248,0.268,0.266,0.262,0.304,0.29,0.272,0.3,0.35
7/1/1929,0.24,0.246,0.27,0.266,0.266,0.312,0.292,0.276,0.306,0.352
8/1/1929,0.236,0.246,0.272,0.264,0.268,0.316,0.302,0.284,0.318,0.364
9/1/1929,0.228,0.236,0.264,0.26,0.262,0.31,0.298,0.278,0.314,0.362
10/1/1929,0.202,0.21,0.236,0.232,0.242,0.284,0.274,0.252,0.28,0.312
11/1/1929,0.19,0.196,0.222,0.224,0.228,0.274,0.258,0.24,0.262,0.286
12/1/1929,0.178,0.186,0.218,0.22,0.226,0.27,0.254,0.24,0.264,0.294
1/1/1930,0.2,0.206,0.232,0.232,0.236,0.28,0.264,0.248,0.27,0.3
2/1/1930,0.204,0.21,0.238,0.234,0.238,0.282,0.268,0.25,0.272,0.306
3/1/1930,0.23,0.224,0.25,0.244,0.25,0.294,0.278,0.26,0.28,0.318
4/1/1930,0.224,0.222,0.238,0.234,0.244,0.286,0.268,0.254,0.282,0.314
5/1/1930,0.214,0.214,0.234,0.23,0.242,0.28,0.266,0.252,0.28,0.31
6/1/1930,0.188,0.19,0.208,0.208,0.218,0.256,0.246,0.236,0.26,0.278
7/1/1930,0.192,0.194,0.214,0.208,0.224,0.264,0.252,0.238,0.262,0.284
8/1/1930,0.186,0.192,0.212,0.204,0.224,0.26,0.252,0.236,0.264,0.284
9/1/1930,0.166,0.172,0.19,0.188,0.208,0.242,0.234,0.224,0.25,0.27
10/1/1930,0.156,0.16,0.178,0.176,0.198,0.232,0.228,0.214,0.242,0.26
11/1/1930,0.156,0.16,0.174,0.174,0.194,0.23,0.224,0.21,0.24,0.26
12/1/1930,0.138,0.144,0.16,0.16,0.178,0.216,0.21,0.202,0.232,0.252
1/1/1931,0.156,0.162,0.172,0.172,0.19,0.23,0.22,0.208,0.238,0.266
2/1/1931,0.176,0.184,0.188,0.188,0.208,0.246,0.236,0.218,0.248,0.276
3/1/1931,0.166,0.174,0.18,0.186,0.2,0.238,0.224,0.212,0.244,0.278
4/1/1931,0.146,0.158,0.162,0.17,0.184,0.22,0.208,0.202,0.23,0.266
5/1/1931,0.134,0.142,0.15,0.156,0.17,0.202,0.194,0.19,0.218,0.256
6/1/1931,0.152,0.164,0.166,0.174,0.19,0.222,0.208,0.202,0.23,0.266
7/1/1931,0.144,0.156,0.158,0.164,0.182,0.216,0.204,0.2,0.226,0.262
8/1/1931,0.144,0.152,0.156,0.16,0.178,0.214,0.202,0.196,0.226,0.262
9/1/1931,0.12,0.122,0.128,0.136,0.148,0.184,0.17,0.168,0.198,0.228
10/1/1931,0.124,0.13,0.136,0.146,0.154,0.19,0.182,0.172,0.212,0.244
11/1/1931,0.116,0.122,0.128,0.138,0.148,0.184,0.176,0.164,0.206,0.238
12/1/1931,0.1,0.106,0.112,0.124,0.132,0.166,0.162,0.154,0.19,0.23
1/1/1932,0.116,0.112,0.118,0.128,0.142,0.172,0.164,0.156,0.192,0.234
2/1/1932,0.114,0.112,0.118,0.126,0.142,0.176,0.166,0.16,0.198,0.236
3/1/1932,0.102,0.104,0.11,0.118,0.136,0.162,0.156,0.152,0.19,0.23
4/1/1932,0.092,0.092,0.1,0.106,0.122,0.148,0.142,0.14,0.176,0.216
5/1/1932,0.082,0.082,0.09,0.096,0.108,0.134,0.128,0.126,0.158,0.198
6/1/1932,0.082,0.084,0.092,0.1,0.11,0.136,0.128,0.128,0.164,0.204
7/1/1932,0.112,0.116,0.116,0.132,0.132,0.162,0.146,0.148,0.18,0.216
